time,evi,ndvi,lswi
8/29/2011,0.20775104,0.395907762,-0.146883684
9/6/2011,0.198889275,0.387162162,-0.155838816
9/14/2011,0.215029425,0.421357898,-0.126807797
9/22/2011,0.222647203,0.445419445,-0.1764
9/30/2011,0.249956393,0.449921507,-0.059470468
10/8/2011,0.206983843,0.464106845,-0.144807411
10/16/2011,0.252717696,0.5484394,-0.086124402
10/24/2011,0.252485462,0.556198347,-0.093622142
11/1/2011,0.289488372,0.589393939,-0.007098912
11/9/2011,0.278495227,0.555223881,-0.008563273
11/17/2011,0.249031758,0.554310345,-0.023558083
11/25/2011,0.251228939,0.544973545,-0.079980611
12/3/2011,0.243626916,0.529026983,-0.089802872
12/11/2011,0.233487833,0.538530067,-0.016794762
12/19/2011,0.220498015,0.47,-0.117728532
12/27/2011,0.22235597,0.425463852,-0.134084726
1/1/2012,0.204628203,0.424011607,-0.127555556
1/9/2012,0.209085933,0.4584,-0.170798272
1/17/2012,0.209474073,0.460907317,-0.142012362
1/25/2012,0.209862214,0.463414634,-0.113226453
2/2/2012,0.224455127,0.465866467,-0.154295607
2/10/2012,0.242081368,0.482502651,-0.167030785
2/18/2012,0.227862962,0.445255474,-0.046548957
2/26/2012,0.224354188,0.478122514,-0.091442543
3/5/2012,0.2697588,0.492462312,-0.143320714
3/13/2012,0.261559158,0.526469657,-0.102277831
3/21/2012,0.253359516,0.560477002,-0.061234947
3/29/2012,0.297208724,0.614964926,0.001208021
4/6/2012,0.310592397,0.549218031,-0.020930233
4/14/2012,0.32733718,0.636830521,0.012480145
4/22/2012,0.336540283,0.654994471,0.098605334
4/30/2012,0.363056385,0.651770937,0.064192792
5/8/2012,0.351058522,0.601710446,0.031268437
5/16/2012,0.327253025,0.571608833,-0.004396483
5/24/2012,0.243565352,0.474309682,-0.062041361
6/1/2012,0.233145387,0.437378326,-0.111155698
6/9/2012,0.206134508,0.387978142,-0.137951687
6/17/2012,0.246340652,0.410818308,-0.092595897
6/25/2012,0.261753813,0.411242604,-0.072285251
7/3/2012,0.234312947,0.387647832,-0.096663815
7/11/2012,0.223907657,0.347724073,-0.129433162
7/19/2012,0.231760666,0.363316582,-0.116560262
7/27/2012,0.239613675,0.378909091,-0.103687362
8/4/2012,0.224820144,0.375835189,-0.063837848
8/12/2012,0.240623013,0.390206186,-0.084676735
8/20/2012,0.203816132,0.344322344,-0.126487589
8/28/2012,0.204603207,0.332700071,-0.122850891
9/5/2012,0.198468731,0.341246291,-0.123876652
9/13/2012,0.214681231,0.346350989,-0.109173127
9/21/2012,0.219821386,0.348538845,-0.112570356
